Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,,1245.0,119.4539,23.0,28453.0,2.97
7PDDveKXLbs,Can't Fall Asleep? | Raga Yaman Bansuri | Delta Wave Sleep Session | 1 Hour,"Apr 22, 2026",4201.0,310.0,36.6992,8.0,4438.0,5.81
sVWGIOKA8gY,Deep Focus Music | 40Hz Gamma Binaural Beats for Concentration,"Apr 5, 2026",1408.0,227.0,11.6776,3.0,4988.0,2.73
62FI6ji47L8,Emotional Release | Violin & 40Hz Gamma Waves | 1 Hour Emotional Healing Music,"Apr 11, 2026",3601.0,76.0,10.1784,1.0,1518.0,3.49
3TayWGNOyrY,Digital Detox Music | Dilruba Strings | Neural Rest | 1 Hour,"Apr 11, 2026",3601.0,67.0,6.8922,1.0,2243.0,2.76
IwzyemqVh7c,Memory Recall | Sitar Music | Brainwave Entrainment | 20 Min,"Apr 12, 2026",1201.0,60.0,3.2139,0.0,1666.0,1.98
LMnHS9drakg,Cello for Creative Flow | 20 Min Focus | 6Hz Theta Waves,"Apr 9, 2026",1203.0,58.0,1.7106,3.0,1308.0,3.75
PCshMQuu41I,ADHD Brain Fog Music | Sitar + 40Hz Gamma | 1 Hour Focus,"Apr 20, 2026",3603.0,54.0,6.8526,2.0,1455.0,2.68
o71DBMDTHyc,Mindful Music | Relaxation | 40Hz Gamma Binaural Beats,"Apr 6, 2026",2368.0,54.0,4.2037,0.0,1714.0,1.23
DT0vCc17EGk,Burnout Music | Tanpura & Delta Waves | Nervous System Reset | 1 Hour,"Apr 12, 2026",3601.0,50.0,10.3841,0.0,1357.0,1.47
3LZYCjFOeS4,Focus Music Santoor | 40Hz Gamma Waves | 40 Min Deep Work,"Apr 15, 2026",2402.0,45.0,5.7525,0.0,1327.0,2.34
4jtrdy4lfQU,Let Go Before Sleep | 40 Min Tanpura Drone for Insomnia & Calm,"Apr 19, 2026",2403.0,37.0,2.3796,0.0,1063.0,2.16
bM4M5T6wW48,Clear Brain Fog | Sarangi 40Hz Gamma | 1Hour,"Apr 7, 2026",3601.0,34.0,6.3853,0.0,1441.0,1.46
aaaQjaYIiAg,Can't Focus? | 10 Min Deep Work Session | Raga-Inspired Piano Music,"Apr 8, 2026",603.0,27.0,1.4311,0.0,522.0,1.72
Tw2jFE-srGc,Mind at Rest | Sitar & Alpha Waves | 1 Hour Anxiety Relief Music,"Apr 21, 2026",3590.0,25.0,1.5934,0.0,846.0,2.84
1zXHn2Bpmms,Overcome Procrastination | Esraj Music | Start working now,"Apr 10, 2026",3603.0,24.0,0.8838,0.0,679.0,2.06
LZ8FJoKp1TA,Anxiety Relief Music | Sitar & Alpha Waves | 1 Hour Session,"Apr 17, 2026",3514.0,19.0,1.569,0.0,347.0,4.32
dyb6inFSyik,Tabla Music for Morning Focus & Motivation | 40Hz Gamma Energy,"Apr 13, 2026",3331.0,19.0,1.3465,0.0,99.0,10.1
8XDHxadprKs,Acoustic Guitar Instrumental | 1 Hour Warm Gentle Music | 40Hz Gamma waves,"Apr 13, 2026",3603.0,18.0,0.8706,0.0,398.0,2.01
sGmvP8MMitg,Deep Work Music for Strategic Thinking | Bamboo Flute + 40Hz Gamma Binaural Beats for Focus,"Apr 14, 2026",4431.0,15.0,2.5491,0.0,834.0,1.32
9xnTYcsyDig,Jet Lag Recovery | Sarod Echoes & 4.5Hz Theta | 1 Hour Session,"Apr 18, 2026",3320.0,12.0,0.4394,0.0,47.0,12.77
0tbB-bD6wz0,Bansuri for Anxiety & Overthinking 🌿 | Mind Too Loud | 528Hz,"Apr 16, 2026",3603.0,6.0,2.3633,0.0,44.0,0.0
FQdazFAHWOo,Overthinking? Trust Your Gut | Swaramandal Delta Waves for Intuition Awakening,"Apr 14, 2026",4915.0,4.0,0.0124,0.0,98.0,1.02
