change_id,video_id,video_title,change_type,change_date,concluded_date,winner,win_margin_share,winner_label,loser_label,pre_change_ctr,post_7d_ctr,post_28d_ctr,ctr_delta_pp,pre_change_impressions_28d,post_28d_impressions,impressions_delta_pct,pre_change_avd_pct,post_avd_pct,algo_verdict,packaging_verdict,notes,read_date
Test_37,TXfk2UU5MjI,Stress Relief Music | Santoor Instrumental | 3 Hours,AB_thumb,2026-06-24,2026-07-05,A_directional_no_winner,56.1/43.9,IT'S OKAY TO REST,RELEASE STRESS,4.7,,4.7,0,42000,21000,-50,28.1,,DECAY,WORKING,"YT declared ""they all performed well"" (no winner). A (IT'S OKAY TO REST) got 56.1% watch-time share vs B (RELEASE STRESS) 43.9% — directional but inconclusive. Key insight: CTR held at 4.7% while impressions dropped -50%. Algo is not pushing (natural decay after May 24 ship — 42 days old). Packaging did its job. Impression drop is age-driven, not packaging-driven. | ACTION 2026-07-03: attaching to hero end screens to inject impressions (tracked in end_screen_redirects.csv). Expected: impressions recover if lane-coherent hero pairs found.",2026-07-03
Test_41,uxkD-QODdFY,Music for Mental Fatigue | Sitar Music | 1.5 Hours,AB_thumb,2026-06-26,2026-07-02,no_winner_YT_chose_B,53.1/46.9,BRAIN BURN OUT (higher share but YT chose LET MIND REST as default),LET MIND REST (kept live by YT despite lower share),3.29,3.4,2.0,-1.29,21984,,,27.5,,DECAY,LIKELY_HURT,"YT declared ""no clear winner"" (statistical insufficiency at 6.2pp margin). Post-test CTR dropped -42% (2.0% now vs 3.4% during test). Impressions -32%. Interpretation: BRAIN BURN OUT (A) likely carried more CTR weight — sole B (LET MIND REST) can't hold. Both thumbs violate banked cognitive lane Q-hook rule (Test 17 26.4pp gap — biggest ever). Recommendation: swap thumb to banked cognitive Q-hook winner (MIND FULL? or CAN'T THINK? — different from Sat BRAIN FOG? used on Brain Detox).",2026-07-03
Test_42,ZwJiMj0Vjak,Music for a Restless Mind | Veena Instrumental | 1.5 Hours,AB_thumb_plus_title_fix,2026-06-26,2026-07-10,insufficient_impressions_YT_chose_B,insufficient_data,BRAIN ON LOOP? (YT chose after inconclusive),HEAD TOO LOUD?,3.07,3.3,3.3,+0.23,11542,4300,-62.7,30.0,34.8,DECAY,WORKING,"YT ""not enough impressions to declare winner"" after 14d test. Chose B (BRAIN ON LOOP?) as default. CTR HELD/IMPROVED (3.07 -> 3.3%, latest 3.8% rising). AVD ROSE +56% (avg view duration 31:20 — massive for the niche). Impressions -91% is age-driven decay (40+ day old ship after title change). Both variants were rule-aligned anxiety Q-hooks — packaging holds. Contrast with Test #41 Mental Fatigue where rule-violating statement variants crashed CTR -42%. VALIDATES banked rule: rule-aligned A/B variants recover cleanly; rule-violating variants crash. Recommend hero-end-screen attach — 31min AVD makes this an ideal chain target (viewers who click stay long).",2026-07-03
Test_46_ReleaseTension,0kLeLN3jqoM,Music to Release Tension | Indian Classical | 1 Hour,AB_thumb,2026-06-26,2026-07-03,no_clear_winner_YT_chose_B,47.6/52.4,"STOP WORRYING (imperative, YT chose)","TOO TENSE? (Q-hook, lost by 5pp)",3.11,3.2,,+0.09,27672,,-30 (7d),20.8,22.0,DECAY,WORKING_BUT_INSUFFICIENT,"RENUMBERED 2026-07-03 from Test_44 to Test_46 (Test #44 was NS Healing round 1). Correcting earlier categorization — this WAS an A/B test, not single swap. TOO TENSE? (Q-hook, anxiety lane rule-aligned) vs STOP WORRYING (imperative). STOP WORRYING won by 5pp (52.4/47.6) but not decisive. Post-test CTR +6% (3.2% vs 3.11%), impressions -30% age-driven. USER VERDICT 2026-07-03: AVD ceiling too low (13:17 / 22% of 60min) to justify further optimization. Anxiety-lane AVD target is 25%+. Ship is retention-capped, not packaging-capped. Retire from active queue. Better to invest effort in high-AVD videos (Restless Mind Veena 31:20 = ideal chain target).",2026-07-03
Refresh_InsomniaTanpura,O8z-M9lOIzM,Sound Sleep | Relaxing Music with... (title changed from Insomnia Relief Music | Tanpura Drone | 1.5 Hours),title_change_plus_thumb_swap,2026-06-26,2026-07-03,N/A_single_swap_no_ab,N/A,DEEP SLEEP NOW (new thumb),N/A,2.61,,2.6,-0.01_but_impression_base_crashed,5017,2600,-85,22.5,16.7,DEAD,HURT,"Rescue attempt FAILED. Title changed from ""Insomnia Relief Music | Tanpura Drone"" to ""Sound Sleep | Relaxing Music with..."" + thumb DEEP SLEEP NOW. Impressions crashed -85%, views -90%, unique viewers -92%. LIKELY CAUSE: ""Sound Sleep"" lead cannibalizes 1.3M Bansuri for Sound Sleep hero — used same lead phrase, lost to hero authority per Finding 14. AVD 16.7% (sleep-inverted OK) but views not translating. User verdict 2026-07-03: 15min AVD too low, video beyond salvage. Retire from active queue. Consider unlisting or accepting as low-performer.",2026-07-03
Test_44_NSHealing_Round1,52YU6Q64zVw,Sitar for Nervous System Healing | Indian Classical Music for Calmness | 1.5 Hours,AB_thumb,2026-06-21,2026-06-26,A_STRESS_DETOX_no_clear_winner,50.9/49.1,STRESS DETOX (kept live),CALM YOUR NERVES,3.8,4.1,,+0.3,770149,,,26.2,,STABLE_RISING,WORKING,"Round 1 for hero-video re-thumb. Both variants Q-hook-adjacent (STRESS DETOX is state-imperative, CALM YOUR NERVES is outcome-imperative). Tied 50.9/49.1 — within margin. Post-test CTR rising 3.8 → 4.1. STRESS DETOX kept as default. Test #45 (Round 2) launched to test whether Q-hook (CAN'T RELAX?) beats state-imperative in somatic/body-adjacent lane. Both Q-hook adjacent formats worked here — validates lane tolerance.",2026-07-03
Test_47_PeaceOfMindSantoor3hr,JT9sMCnL1Ng,Peace of Mind Music | Santoor Instrumental | 3 Hours,AB_title_only,2026-07-13,2026-07-17,A_no_clear_winner,51.7/48.3,Peace of Mind Music (kept),Deep Calm | Indian Classical Music,,,,,,,,,,PENDING_28D_READ,PENDING_28D_READ,"Concluded 2026-07-17. Peace of Mind Music (A) 51.7% vs Deep Calm (B) 48.3% — 3.4pp, ""no clear winner"". Title-only test (TAKE IT SLOW thumb constant). Specific-keyword lead (Peace of Mind Music) marginally edges broader outcome lead (Deep Calm). Need post-28d CTR/impression pull to determine packaging_verdict. Both variants Peace-family, mostly rule-adjacent for calm/healing lane (outcome-state).",2026-07-17
Test_49_HealingFrequencySarangi,fsg9INofUlM,Healing Frequency Music | Sarangi & Tanpura | 1.5 Hours,AB_title_plus_thumb,2026-07-18,2026-07-23,B_higher_share_YT_kept_A,47.6/52.4,FIND YOUR SMILE + Healing Frequency Music (A — YT kept as default despite lower share),NEED SOME COMFORT? + Music for Emotional Healing (B — higher share but not kept),,,,,,,,,,PENDING_28D_READ,PENDING_28D_READ,"Concluded 2026-07-23. B (Music for Emotional Healing + NEED SOME COMFORT? Q-hook) had 52.4% watch-share vs A (Healing Frequency Music + FIND YOUR SMILE outcome-state) 47.6%. YT verdict ""they all performed well"". YT kept A as default despite B's higher share — unusual. Test was CONFOUNDED (title + thumb both differ). Reversal from my earlier RUNNING log (had A at 67.9%) — shares rebalanced dramatically over test window. Interesting: problem-recognition Q-hook (NEED SOME COMFORT?) marginally beat outcome-state (FIND YOUR SMILE) in emotional healing lane — contradicts my earlier interpretation of playbook v3 healing rule. Need to re-read carefully.",2026-09-02
Test_48_SitarMorningRenewal,W7eQ-hT27VE,Sitar for Morning Renewal | Indian Classical Music for a Fresh Start,AB_title_only,2026-07-09,2026-07-23,A_no_conclusive,55.8/44.2,"Sitar for Morning Renewal | Indian Classical Music for a Fresh Start (kept, YT chose A)",Music for Positivity | Sitar Instrumental | 1.5 Hours,,,,,,,,,,PENDING_28D_READ,PENDING_28D_READ,"Concluded 2026-07-23 (14-day test). ""Test finished without a conclusive result"" but A won 55.8/44.2 (11.6pp — actually decent margin, borderline decisive). Same FIND YOUR SPARK thumb both variants — pure title A/B. Sitar for Morning Renewal (IFO + multi-benefit long-form format) beat Music for Positivity (music-intent form) 55.8/44.2. Contradicts my earlier assumption that music-intent form ranks better — the long-form IFO+benefit format won here. Worth banking as directional finding: IFO+multi-benefit format may beat music-intent form for morning lane at least.",2026-09-02
Test_50_MorningEnergyDilruba,DMcoOLvmAyQ,Morning Energy Music | Dilruba Raga Yaman | 1.5 Hours,AB_thumb_only,2026-07-26,2026-07-29,A_CALM_MORNING_VIBES_decisive,53.8/46.2,"CALM MORNING VIBES (kept, decisive winner)",BOOST YOUR ENERGY,4.4,,,,230000,,,,,PENDING_28D_READ,PENDING_28D_READ,"Concluded 2026-07-29 (3-day test — very fast). ""We have a winner!"" CALM MORNING VIBES beat BOOST YOUR ENERGY 53.8/46.2 (7.6pp). Both variants outcome-imperative/vibes-state format (morning lane rule-aligned). Both worked, calm-vibes edged boost-energy. Interesting: on the 4M-impression HERO video (Morning Energy Dilruba), even a rule-aligned challenger (BOOST YOUR ENERGY) LOST to the softer calm-vibes framing. Suggests: on established morning heroes with proven audience, keep the softer/calmer framing consistent with the music (Yaman = calm raga, not high-energy). ⭐ Rule signal: match thumb energy to music energy, not to lane keyword. Calm music + calm thumb wins even in morning lane.",2026-09-02
