shipped_on,brief_id,title,instrument,raga,views,avd_pct,avd_tier,format,family,lead_type,slot_count,title_length,short_form,lead_hook
2026-04-29,SEw8IsSXRSU,Sitar for Dopamine Reset | Indian Classical Music for Mindfulness,Sitar,,159403,20.04,TIER_B (15-22%),instrument_for_outcome,reset,clinical_curiosity,2,65,False,Sitar for Dopamine Reset
2026-04-28,m6aFcw2f58o,Deep Rest Music | Find Stillness with Surbahar | 1 Hour,,,16823,25.98,TIER_A (22-28%),seo_stacked,calm,seo_descriptor,3,55,False,Deep Rest Music
2026-05-05,52YU6Q64zVw,Sitar for Nervous System Healing | Indian Classical Music for Calmness | 1 Hour,Sitar,,4699,29.24,TIER_S (28%+),instrument_for_outcome,healing,clinical_curiosity,3,80,False,Sitar for Nervous System Healing
2026-05-04,P-DIkbxipB8,Comfort Music | Healing Music with Sarangi | 1 Hour,Sarangi,,4464,25.94,TIER_A (22-28%),seo_stacked,healing,seo_descriptor,3,51,False,Comfort Music
2026-05-05,AVg7n2rEBG4,Productive Day Music | Positive Morning Vibes | 1 Hour Bansuri Session,Bansuri,,3753,30.79,TIER_S (28%+),seo_stacked,focus,seo_descriptor,3,71,False,Productive Day Music
2026-05-07,mjd89dJLam0,Yoga Music | Positive Energy Frequency | 1 Hour,,,2942,32.52,TIER_S (28%+),seo_stacked,uplifting,seo_descriptor,3,47,False,Yoga Music
2026-04-22,7PDDveKXLbs,Can't Fall Asleep | Raga Yaman Bansuri | Delta Wave Sleep Session | 1 Hour,Bansuri,,2928,20.06,TIER_B (15-22%),q_hook,sleep,other,4,74,False,Can't Fall Asleep
2026-05-07,QNmoY_K5MxI,Deep Sleep | Relaxing Music with Bansuri | 1 Hour,Bansuri,,2151,19.93,TIER_B (15-22%),other,sleep,other,3,49,False,Deep Sleep
2026-04-24,5UGTuyNHHHE,Stress Relief Music | Deep Meditation with Veena Raga & 432Hz | 1 Hour,Veena,,2092,26.93,TIER_A (22-28%),seo_stacked,anxiety_stress,seo_descriptor,3,70,False,Stress Relief Music
2026-04-26,h7jE3BbxdN4,Calm Your Mind |  Veena Healing Music | 1 hour,Veena,,1978,32.71,TIER_S (28%+),other,healing,other,3,46,False,Calm Your Mind
2026-05-06,1jrBZH4K_S8,Peaceful Music | Soothing Music with Veena | 1 Hour,Veena,,1768,28.3,TIER_S (28%+),seo_stacked,calm,seo_descriptor,3,51,False,Peaceful Music
2026-04-27,Z6dZjnUzNXQ,Release Stress | Burnout Music | Santoor & 528Hz,Santoor,,1702,34.01,TIER_S (28%+),imperative_action,healing,imperative,3,48,False,Release Stress
2026-05-03,Y6Ob2P34DHA,Overthinking Music | Healing with Bamboo Flute & Tanpura | 1 Hour,Bansuri,,1289,25.85,TIER_A (22-28%),seo_stacked,healing,seo_descriptor,3,65,False,Overthinking Music
2026-04-25,g3v4KTVRNEQ,Relaxation Music | Bansuri Raga & 432Hz Evening Session | 1 Hour,Bansuri,,1193,29.75,TIER_S (28%+),seo_stacked,calm,seo_descriptor,3,64,False,Relaxation Music
2026-05-02,FsYTGhdm2uM,Breathe And Relax | Slow Down Music | Veena Instrumental,Veena,,714,22.01,TIER_A (22-28%),imperative_action,calm,imperative,3,56,False,Breathe And Relax
2026-05-09,Bc92MEMzd5g,Burnout Recovery | Vagus Nerve Reset with Surbahar | 1 Hour,Surbahar,,684,21.82,TIER_B (15-22%),clinical_curiosity,reset,other,3,59,False,Burnout Recovery
2026-05-01,pMDVh0dzUdI,Anxiety Relief Music | Clear Your Mind | 1 Hour Dilruba Session,Dilruba,,657,26.74,TIER_A (22-28%),seo_stacked,anxiety_stress,seo_descriptor,3,63,False,Anxiety Relief Music
2026-05-09,DMcoOLvmAyQ,Breathing Exercise Music | Dilruba Raga Yaman | Alpha Wave Calm Session,Dilruba,Yaman,593,15.13,TIER_B (15-22%),seo_stacked,calm,seo_descriptor,3,71,False,Breathing Exercise Music
2026-05-08,KeEFFkaCMRk,Joyful Music | Positive Vibes Music with Santoor | 1 Hour,Santoor,,577,20.04,TIER_B (15-22%),seo_stacked,uplifting,seo_descriptor,3,57,False,Joyful Music
2026-04-30,O2Z_XApzvYc,Instant focus music  | Sitar Instrumental | 1 hour,Sitar,,552,22.9,TIER_A (22-28%),seo_stacked,focus,seo_descriptor,3,50,False,Instant focus music
2026-04-12,IwzyemqVh7c,Memory Recall | Sitar Music | Brainwave Entrainment | 20 Min,Sitar,,346,44.71,TIER_S (28%+),other,focus,other,4,60,True,Memory Recall
2026-04-23,XSIsS9ZZgLg,Nervous System Reset | Quiet Your Mind with Dilruba Instrumental Music | 1 Hour,Dilruba,,320,15.26,TIER_B (15-22%),clinical_curiosity,reset,clinical_curiosity,3,79,False,Nervous System Reset
2026-04-30,ZyV0OfIdDKs,Concentration Music | Deep Focus with Sitar,Sitar,,230,32.49,TIER_S (28%+),minimal_2slot,focus,seo_descriptor,2,43,False,Concentration Music
2026-04-15,3LZYCjFOeS4,Focus Music Santoor | 40Hz Gamma Waves | 40 Min Deep Work,Santoor,,174,46.91,TIER_S (28%+),seo_stacked,focus,seo_descriptor,3,57,True,Focus Music Santoor
2026-04-21,Tw2jFE-srGc,Mind at Rest | Sitar & Alpha Waves | 1 Hour Anxiety Relief Music,Sitar,,173,10.94,TIER_C (<15%),other,anxiety_stress,other,3,64,False,Mind at Rest
2026-04-05,sVWGIOKA8gY,Deep Focus Music | 40Hz Gamma Binaural Beats for Concentration,,,161,18.14,TIER_B (15-22%),minimal_2slot,focus,seo_descriptor,2,62,False,Deep Focus Music
