Suno Workspace,Prompt,,Video Title,Views,Suno Prompt
Jet lag recovery music,"Sarod glissando slides, metallic plucked attack, no sustained drone, sparse phrases with long silences, steel-on-chrome string texture, cold resonance, nocturnal stillness, 55 BPM, each note decays completely before the next, no tanpura, no tabla, wide stereo space, isolated string in empty room, slow circadian descent, fragmented melody, psychoacoustic depth, world music healing",,Sitar for Dopamine Reset | Indian Classical Music for Mindfulness,"764,609","Calming Indian classical sitar instrumental, Raga Bhimpalasi or Yaman Kalyan, slow meditative tempo 45–55 BPM, gentle tanpura drone throughout, sparse tabla at low volume, soft reverb, introspective and deeply peaceful mood, dopamine reset, inner stillness, no vocals, no humming, no human voice, no chanting, purely instrumental, warm analog tone, smooth melodic phrases with long sustain, no abrupt changes, continuous flowing composition"
Deep sleep music,"Raga Yaman bansuri flute, deep sleep, ambient Indian classical, tanpura drone, slow melodic descent, peaceful night raga, 60 BPM, delta wave undercurrent, long sustained notes, gentle ornaments (meend, gamak), no percussion, no rhythm, floating and meditative, warm low-frequency hum, seamless loop, instrumental only, solo bansuri with tanpura, evening to midnight mood, deeply calming, no abrupt changes",,Bansuri for Sound Sleep | Deep Sleep Music | 1 Hour,"56,854","Soft Indian sleep meditation with warm bansuri flute, gentle tanpura drone, light ambient textures, slow calming tempo, peaceful night atmosphere, deep relaxation mood, soothing melodic flow, subtle nature ambience, emotional and spiritual healing vibe, cinematic meditation production, smooth transitions, ideal for deep sleep, stress relief, yoga, meditation, and relaxation, Instrumental only, no vocals, ‑NO HUMAN VOICE"
Digital detox,"Indian classical, raga/khayal, ambient drone",,Morning Energy Music | Dilruba Raga Yaman | 1 Hour,"44,362","Instrumental only, no vocals, Indian classical santoor solo in raga Bilawal, bright morning energy mood, hammered dulcimer with characteristic bright percussive attack and warm resonant sustain, melodic phrases with natural lift and forward momentum, no percussion, no tabla, 432Hz tuning, 85-95 BPM, upbeat but calm — energetic without being frantic, expressive melodic development with clear ascending phrases, seamless ambient texture with consistent dynamics, suitable for extended looping in post-production, no abrupt entrances or fade-outs that would break a loop, Bright, positive, like the first hour of a perfect morning, ‑No vocals"
Veena raga meditation music,"Meditative Indian classical veena, slow raga phrases in Raga Yaman, 60 BPM, soft tanpura drone underneath, gentle reverb, warm and spacious, deep stillness, evening mood, sacred and ancient feeling, long sustains between notes, soft harmonic overtones, smooth seamless loop, ambient instrumental, healing and grounding, 432Hz tuning, no vocals, no humming, no singing, no voice, purely instrumental",,Deep Rest Music | Find Stillness with Surbahar | 1 Hour,"40,583","Indian classical instrumental, solo surbahar, slow meditative drone, warm and grounding, deep resonant string tones, tanpura drone underneath, raga bhairavi, very slow tempo, no percussion, no vocals, minimal melodic movement, long sustained notes, ambient, healing, deeply restful, 174Hz foundation tone, seamless loop-friendly, soft fade in, no abrupt changes, no humming, no human vocals"
Evening relaxation music,"Slow Indian classical evening raga, solo Bansuri flute over warm Tanpura drone, 432Hz tuning, meditative and deeply relaxing, no percussion, gentle ambient texture, soft reverb, long sustained notes with natural breath pauses, peaceful dusk mood, traditional yet timeless, smooth loop-friendly structure, 70 BPM, stereo, no sudden changes, no vocals, no humming, no human voice, no percussion",,Productive Day Music | Positive Morning Vibes | 1 Hour Bansuri Session,"35,904","Soft bansuri flute leading a calm Indian ambient composition with tanpura drone, light morning raga mood, slow tempo (60–70 BPM), airy and spacious texture, minimal percussion or none, smooth evolving phrases, gentle melodic repetition with subtle variation, warm natural tone, peaceful and positive energy, designed for focus, clarity, and productive mornings, no vocals, seamless flow, highly immersive and non-distracting, ‑no vocals, ‑no human voice"
Homesickness music,"Raga Desh santoor meditation, slow melodic phrases, nostalgic and longing mood, 528Hz tuned, soft tanpura drone foundation, sparse tabla accents, warm reverb, intimate and tender, raga phrases rise and fall like distant memories, deeply emotional yet peaceful, Indian classical instrumental, 60 BPM, no percussion bursts, seamless loop, healing and comforting atmosphere",,Sitar for Nervous System Healing | Indian Classical Music for Calmness | 1 Hour,"25,490","Slow, deeply calming Indian classical sitar meditation with tanpura drone, Designed to relax the nervous system, reduce anxiety, and create a safe, soothing atmosphere, No vocals, smooth transitions, long sustained notes, peaceful and meditative mood, ‑no human voice"
Comfort music,"Sarangi-led Indian classical ambient in Raga Bhairavi, slow tempo, deeply emotional, and soothing, Expressive bowed sarangi like a human voice, gentle tanpura drone, soft ambient pads, Tuned to 432Hz with a subtle 6Hz theta wave, Gradual progression, spacious, no percussion, calming, healing, introspective, ideal for relaxation, stress relief, evening meditation, STRICTLY no vocals, no humming, ‑no vocals",,Yoga Music | Positive Energy Frequency | 1 Hour,"17,395","Deeply calming Indian yoga meditation music with warm Sarangi melodies and soft Tabla rhythms, tuned for positive energy and inner balance, Slow spiritual flow, peaceful ambient textures, gentle drone layers, meditative atmosphere, healing frequency vibe, smooth transitions, relaxing and uplifting mood for yoga, mindfulness, stretching, meditation, and stress relief, Natural acoustic sound, cinematic serenity, no vocals, ‑NO HUMMING, ‑NO VOCALS"
Nervous system cooldown music,"Slow, deeply calming Indian classical sitar meditation with tanpura drone, Designed to relax the nervous system, reduce anxiety, and create a safe, soothing atmosphere, No vocals, smooth transitions, long sustained notes, peaceful and meditative mood, ‑no human voice",,Can't Fall Asleep | Raga Yaman Bansuri | Delta Wave Sleep Session | 1 Hour,"15,054","deep bansuri, bamboo flute lower octave, indian classical morning raga, raga bhairav, slow meend glides, liquid ornamentation, long breath notes, unhurried phrases, contemplative, warm tone, 528hz, no drums, no percussion, no tabla, sparse, meditative, peaceful sunrise, soft acoustic, ancient indian flute, healing frequency, no melody loop"
Nostalgic music,"Nostalgic healing instrumental with expressive sarangi lead, soft piano textures, and gentle ambient strings, Slow emotional melodies, warm cinematic atmosphere, deep reflective mood, subtle reverb, minimal percussion, smooth transitions, meditative and heart-touching flow, designed for late-night healing, emotional release, relaxation, and peaceful introspection, Pure instrumental, highly immersive, 1-hour calming vibe, ‑NO HUMAN VOICE",,Morning Motivation | Sitar Music Instrumental | 1.5 Hours,"11,832","Instrumental only, no vocals, Uplifting Indian instrumental for a peaceful and motivated morning, Warm sitar melodies with gentle tabla, tanpura drone, and subtle ambient pads, Calm yet inspiring flow, smooth transitions, meditative rhythm, positive sunrise energy, focus and mindfulness mood, Raga Bhupali raga-inspired composition with modern cinematic clarity, relaxing but emotionally uplifting, ideal for motivation, yoga, studying, meditation, and deep focus"
Anxiety relief music,"Slow, deeply calming Indian ambient meditation with soft bansuri flute and gentle tanpura drone only, Warm healing atmosphere for anxiety relief, emotional release, deep relaxation, stress reduction, mindfulness, and peaceful sleep, Very slow tempo, spacious pauses, cinematic spiritual mood, continuous flowing composition for long listening, ‑NO HUMAN VOICE",,3 Hour Bansuri Music for Relaxation | Indian Classical Music for Deep Sleep,"10,549","Deeply calming Indian ambient meditation music with soulful bansuri flute, soft tanpura drone, gentle Himalayan textures, warm ambient pads, slow healing rhythm, peaceful spiritual atmosphere, emotional yet minimal, perfect for deep rest, yoga, sleep, meditation, stress relief, and inner healing, Smooth flowing composition with natural flute improvisations, serene transitions, cinematic relaxation vibe, 432Hz style calming energy"
